Metabolite,Reference,ID,DOI,tCr_u,tCr_std,IU_u,IU_std,mM_u,mM_std,Group,Tissue,Title,GM,GM_Std,WM,WM_Std,N_Total,Female,Male,Age,Age_Std
Asc,2017_marjanska_354,1,10.1016/j.neuroscience.2017.04.035,0.0,0.0,1.41,0.165,1.41,0.165,Control,GM,Region-specific aging of the human brain as evidenced by neurochemical profiles measured noninvasively in the posterior cingulate cortex and the occipital lobe using (1)H magnetic resonance spectroscopy at 7T.,0.61,0.041231,0.228,0.037108,17.0,10.0,7.0,21.0,1
Asp,2017_marjanska_354,1,10.1016/j.neuroscience.2017.04.035,0.0,0.0,1.86,0.289,1.86,0.289,Control,GM,Region-specific aging of the human brain as evidenced by neurochemical profiles measured noninvasively in the posterior cingulate cortex and the occipital lobe using (1)H magnetic resonance spectroscopy at 7T.,0.61,0.041231,0.228,0.037108,17.0,10.0,7.0,21.0,1
Asp,2017_suri_152,1,10.1016/j.neuroimage.2017.03.031,0.364,0.022,0.0,0.0,0.0,0.0,Control,GM,Effect of age and the APOE gene on metabolite concentrations in the posterior cingulate cortex.,0.6,0.03,0.23,0.03,30.0,13.0,17.0,23.87,4.95
Asp,2019_reid_45,1,10.1093/schbul/sbx190,0.0,0.0,1.49,0.21,0.0,0.0,Control,GM,7T Proton Magnetic Resonance Spectroscopy of the Anterior Cingulate Cortex in First-Episode Schizophrenia.,0.7140000000000001,0.078,0.254,0.077,21.0,5.0,16.0,23.5,4.5
Asp,2019_wiegers_62,1,10.1007/s00125-019-4862-9,0.0,0.0,2.07,0.34,2.07,0.34,Control,WM,Elevated brain glutamate levels in type 1 diabetes: correlations with glycaemic control and age of disease onset but not with hypoglycaemia awareness status.,0.265,0.042,0.713,0.047,13.0,7.0,6.0,25.5,5.5
Asp,2021_bednarik_15,1,10.3389/fnins.2021.609485,0.0,0.0,3.7,0.3,3.7,0.3,Healthy,GM,Effect of Ketamine on Human Neurochemistry in Posterior Cingulate Cortex: A Pilot Magnetic Resonance Spectroscopy Study at 3 Tesla.,0.7240000000000001,0.0178,0.18600000000000003,0.031,12.0,0.0,12.0,26.0,5
Asp,2021_bednarik_15,2,10.3389/fnins.2021.609485,0.0,0.0,3.68,0.3,3.68,0.3,Healthy,GM,Effect of Ketamine on Human Neurochemistry in Posterior Cingulate Cortex: A Pilot Magnetic Resonance Spectroscopy Study at 3 Tesla.,0.7340000000000001,0.018000000000000002,0.17800000000000002,0.032,12.0,0.0,12.0,26.0,5
Cr,2018_caravaggio_28,1,10.1016/j.euroneuro.2017.12.002,0.0,0.0,7.04,1.07,0.0,0.0,Healthy,WM,Reduced insulin sensitivity may be related to less striatal glutamate: An (1)H-MRS study in healthy non-obese humans.,0.2921,0.0391,0.6297999999999999,0.0621,17.0,9.0,8.0,28.35,9.53
Cr,2018_caravaggio_28,2,10.1016/j.euroneuro.2017.12.002,0.0,0.0,6.56,1.35,0.0,0.0,Healthy,WM,Reduced insulin sensitivity may be related to less striatal glutamate: An (1)H-MRS study in healthy non-obese humans.,0.2465,0.028399999999999998,0.6658,0.06709999999999999,17.0,9.0,8.0,28.35,9.53
Cr,2018_chiu_193,4,10.1016/j.schres.2017.07.021,0.0,0.0,14.71,1.75,14.71,1.75,Control,GM,In vivo gamma-aminobutyric acid and glutamate levels in people with first-episode schizophrenia: A proton magnetic resonance spectroscopy study.,0.6076,0.0858,0.2432,0.0821,14.0,5.0,9.0,27.71,5.88
