Metabolite,Label,Tissue,Conc_mean,Conc_std,T1,T2
Asc,0,Background,0.0,0.0,0.0,0.0
Asc,1,WM,0.289,0.384,,172.0
Asc,2,GM,0.289,0.384,,125.0
Asc,3,CSF,,,,
Asp,0,Background,0.0,0.0,0.0,0.0
Asp,1,WM,1.483,0.256,,148.0
Asp,2,GM,1.483,0.256,,129.03
Asp,3,CSF,,,,
Cr,0,Background,0.0,0.0,0.0,0.0
Cr,1,WM,3.988,0.999,,159.09
Cr,2,GM,3.988,0.999,,152.55
Cr,3,CSF,,,,
GABA,3,CSF,,,,
GABA,2,GM,0.909,0.398,,102.0
GABA,0,Background,0.0,0.0,0.0,0.0
GABA,1,WM,0.909,0.398,,
Gln,3,CSF,,,,
Gln,2,GM,1.257,0.789,,130.01
Gln,1,WM,1.257,0.789,,151.0
Gln,0,Background,0.0,0.0,0.0,0.0
Glu,1,WM,5.958,0.707,,168.49
Glu,0,Background,0.0,0.0,0.0,0.0
Glu,3,CSF,,,,
Glu,2,GM,5.958,0.707,,178.95
GPC,3,CSF,,,,
GPC,2,GM,0.587,0.315,,242.83
GPC,0,Background,0.0,0.0,0.0,0.0
GPC,1,WM,0.587,0.315,,209.62
GSH,0,Background,0.0,0.0,0.0,0.0
GSH,2,GM,1.332,0.396,,100.11
GSH,1,WM,1.332,0.396,,148.94
GSH,3,CSF,,,,
Lac,0,Background,0.0,0.0,0.0,0.0
Lac,1,WM,0.357,0.411,,159.0
Lac,2,GM,0.357,0.411,,110.0
Lac,3,CSF,3.0,0.0,0.0,110.0
mI,2,GM,5.118,0.864,,200.03
mI,3,CSF,,,,
mI,1,WM,5.118,0.864,,189.9
mI,0,Background,0.0,0.0,0.0,0.0
NAA,2,GM,8.627,1.086,,265.31
NAA,1,WM,8.627,1.086,,291.44
NAA,0,Background,0.0,0.0,0.0,0.0
NAA,3,CSF,,,,
NAAG,0,Background,0.0,0.0,0.0,0.0
NAAG,2,GM,0.999,0.447,,118.33
NAAG,3,CSF,,,,
NAAG,1,WM,0.999,0.447,,198.3
PCh,3,CSF,,,,
PCh,0,Background,0.0,0.0,0.0,0.0
PCh,1,WM,0.5,0.235,,192.29
PCh,2,GM,0.5,0.235,,256.0
PCr,1,WM,2.094,1.249,,
PCr,2,GM,2.094,1.249,,
PCr,3,CSF,,,,
PCr,0,Background,0.0,0.0,0.0,0.0
PE,0,Background,0.0,0.0,0.0,0.0
PE,1,WM,2.081,0.68,,158.0
PE,2,GM,2.081,0.68,,119.0
PE,3,CSF,,,,
sI,1,WM,0.19,0.105,,170.0
sI,0,Background,0.0,0.0,0.0,0.0
sI,3,CSF,,,,
sI,2,GM,0.19,0.105,,125.0
Tau,3,CSF,,,,
Tau,1,WM,1.352,0.668,,
Tau,0,Background,0.0,0.0,0.0,0.0
Tau,2,GM,1.352,0.668,,123.0
